pheno
eid
100011-0.0
1050-0.0
1060-0.0
1070-0.0
1080-0.0
1100-0.0
110001-1.0
1180-0.0
1190-0.0
1269-0.0
137-0.0
1408-0.0
1488-0.0
1498-0.0
1578-0.0
1588-0.0
1677-0.0
1920-0.0
1950-0.0
1970-0.0
1990-0.0
20018-0.0
20023-0.0
20075-0.0
20077-0.0
20127-0.0
20414-0.0
20453-0.0
20491-0.0
20497-0.0
20498-0.0
2050-0.0
20505-0.0
20509-0.0
20512-0.0
20520-0.0
20522-0.0
2060-0.0
2070-0.0
2129-0.0
2178-0.0
2217-0.0
2644-0.0
30530-0.0
3536-0.0
3581-0.0
3591-0.0
3606-0.0
399-0.1
400-0.1
404-0.0
41235-0.0
4260-0.0
4270-0.0
4282-0.0
4283-0.0
4288-0.0
4290-0.0
4291-0.0
4548-0.0
4653-0.0
4728-0.0
4825-0.0
5084-0.0
5085-0.0
5201-0.0
738-0.0
777-0.0
806-0.0
816-0.0
826-0.0
845-0.0
864-0.0
874-0.0
884-0.0
894-0.0
904-0.0
914-0.0
971-0.0
6146-0.0
6138-0.0
